Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
gitmails,recon ,,An information gathering tool to collect git commit emails in version control host services.,https://github.com/giovanifss/gitmails,BlackArch
gitminer,recon ,,Tool for advanced mining for content on Github.,https://github.com/danilovazb/GitMiner,BlackArch
gitrecon,recon ,,OSINT tool to get information from a Github and Gitlab profile and find user's email addresses leaked on commits.,https://github.com/GONZOsint/gitrecon,BlackArch
gitrob,scanner ,,Reconnaissance tool for GitHub organizations.,http://michenriksen.com/blog/gitrob-putting-the-open-source-in-osint/,BlackArch
gittools,webapp ,,A repository with 3 tools for pwn'ing websites with .git repositories available'.,https://github.com/internetwache/GitTools,BlackArch
gloom,scanner ,,Linux Penetration Testing Framework.,https://github.com/StreetSec/Gloom-Framework,BlackArch
glue,automation ,,A framework for running a series of tools.,https://github.com/OWASP/glue,BlackArch
gmsadumper,misc ,,A tool that Reads any gMSA password blobs the user can access and parses the values.,https://github.com/micahvandeusen/gMSADumper,BlackArch
gnuradio,wireless ,,General purpose DSP and SDR toolkit with drivers for usrp and fcd.,https://gnuradio.org,BlackArch
gnutls2,crypto ,,A library which provides a secure layer over a reliable transport layer (Version 2),http://gnutls.org/,BlackArch
go-windapsearch,recon ,,"Utility to enumerate users, groups and computers from a Windows domain through LDAP queries.",https://github.com/ropnop/go-windapsearch,BlackArch
gobd,backdoor ,,A Golang covert backdoor.,https://github.com/razc411/GoBD,BlackArch
gobuster,webapp ,,Directory/file & DNS busting tool written in Go.,https://github.com/OJ/gobuster,BlackArch
gocabrito,social ,,Super organized and flexible script for sending phishing campaigns.,https://github.com/KINGSABRI/goCabrito,BlackArch
goddi,recon ,,Dumps Active Directory domain information.,https://github.com/NetSPI/goddi,BlackArch
goldeneye,dos ,,A HTTP DoS test tool. Attack Vector exploited: HTTP Keep Alive + NoCache.,https://github.com/jseidl/GoldenEye,BlackArch
golismero,webapp ,,Opensource web security testing framework.,https://github.com/golismero/golismero,BlackArch
gomapenum,cracker ,,"User enumeration and password bruteforce on Azure, ADFS, OWA, O365, Teams and gather emails on Linkedin.",https://github.com/nodauf/GoMapEnum,BlackArch
goodork,recon ,,A python script designed to allow you to leverage the power of google dorking straight from the comfort of your command line.,http://goo-dork.blogspot.com/,BlackArch
goofile,recon ,,Command line filetype search,https://code.google.com/p/goofile/,BlackArch
goofuzz,fuzzer ,,A Bash script that uses advanced Google search techniques to obtain sensitive information in files or directories without making requests to the web server.,https://github.com/m3n0sd0n4ld/GooFuzz,BlackArch
goog-mail,recon ,,Enumerate domain emails from google.,http://www.darkc0de.com/others/goog-mail.py,BlackArch
google-explorer,automation ,,"Google mass exploit robot - Make a google search, and parse the results for a especific exploit you define.",https://github.com/anarcoder/google_explorer,BlackArch
googlesub,recon ,,A python script to find domains by using google dorks.,https://github.com/zombiesam/googlesub,BlackArch
goohak,recon ,,Automatically Launch Google Hacking Queries Against A Target Domain.,https://github.com/1N3/Goohak,BlackArch
goop,recon ,,Perform google searches without being blocked by the CAPTCHA or hitting any rate limits.,https://github.com/s0md3v/goop,BlackArch
goop-dump,webapp ,,"Tool to dump a git repository from a website, focused on as-complete-as-possible dumps and handling weird edge-cases.",https://github.com/nyancrimew/goop,BlackArch
gooscan,automation ,,"A tool that automates queries against Google search appliances, but with a twist.","http://johnny.ihackstuff.com/downloads/task,doc_details&Itemid=/gid,28/",BlackArch
gopherus,webapp ,,Tool generates gopher link for exploiting SSRF and gaining RCE in various servers.,https://github.com/tarunkant/Gopherus,BlackArch
gophish,social ,,Open-Source Phishing Framework.,https://github.com/gophish/gophish,BlackArch
goshs,misc ,,"A SimpleHTTPServer written in Go, enhanced with features and with a nice design.",https://github.com/patrickhener/goshs,BlackArch
gosint,recon ,,OSINT framework in Go.,https://github.com/Nhoya/gOSINT,BlackArch
gospider,webapp ,,Fast web spider written in Go.,https://github.com/jaeles-project/gospider,BlackArch
gostringsr2,reversing ,,Extract strings from a Go binary using radare2.,https://github.com/CarveSystems/gostringsr2,BlackArch
gowitness,webapp ,,"A golang, web screenshot utility using Chrome Headless.",https://github.com/sensepost/gowitness,BlackArch
gplist,windows ,,Lists information about the applied Group Policies.,http://ntsecurity.nu/toolbox/gplist/,BlackArch
gpocrack,cracker ,,Active Directory Group Policy Preferences cpassword cracker/decrypter.,https://github.com/MartinIngesen/gpocrack,BlackArch
gpredict,radio ,,A real-time satellite tracking and orbit prediction application.,http://gpredict.oz9aec.net/,BlackArch
gps-sdr-sim,radio ,,Software-Defined GPS Signal Simulator.,https://github.com/osqzss/gps-sdr-sim,BlackArch
gqrx,radio ,,Interactive SDR receiver waterfall for many devices.,http://gqrx.dk/,BlackArch
gr-air-modes,radio ,,"Gnuradio tools for receiving Mode S transponder signals, including ADS-B.",https://github.com/bistromath/gr-air-modes,BlackArch
gr-gsm,radio ,,Gnuradio blocks and tools for receiving GSM transmissions.,https://github.com/ptrkrysik/gr-gsm,BlackArch
gr-paint,radio ,,An OFDM Spectrum Painter for GNU Radio.,https://github.com/drmpeg/gr-paint,BlackArch
grabbb,scanner ,,"Clean, functional, and fast banner scanner.",https://packetstormsecurity.com/files/11372/grabbb.0.7.tar.gz.html,BlackArch
grabber,webapp ,,A web application scanner. Basically it detects some kind of vulnerabilities in your website.,http://rgaucher.info/beta/grabber/,BlackArch
grabing,recon ,,Counts all the hostnames for an IP adress,https://github.com/black-brain/graBing,BlackArch
grabitall,windows ,,Performs traffic redirection by sending spoofed ARP replies.,http://ntsecurity.nu/toolbox/grabitall/,BlackArch
graffiti,misc ,,A tool to generate obfuscated one liners to aid in penetration testing.,https://github.com/Ekultek/Graffiti,BlackArch
grammarinator,fuzzer ,,A random test generator / fuzzer that creates test cases according to an input ANTLR v4 grammar.,https://github.com/renatahodovan/grammarinator,BlackArch
graphinder,recon ,,"GraphQL endpoints finder using subdomain enumeration, scripts analysis and bruteforce.",https://github.com/Escape-Technologies/graphinder,BlackArch
graphql-cop,scanner ,,GraphQL vulnerability scanner.,https://github.com/dolevf/graphql-cop,BlackArch
graphql-path-enum,webapp ,,Tool that lists the different ways of reaching a given type in a GraphQL schema.,https://gitlab.com/dee-see/graphql-path-enum,BlackArch
graphqlmap,webapp ,,Scripting engine to interact with a graphql endpoint for pentesting purposes.,https://github.com/swisskyrepo/GraphQLmap,BlackArch
graphw00f,webapp ,,GraphQL endpoint detection and engine fingerprinting.,https://github.com/dolevf/graphw00f,BlackArch
graudit,code-audit ,,Grep rough source code auditing tool.,https://github.com/wireghoul/graudit,BlackArch
grepforrfi,scanner ,,Simple script for parsing web logs for RFIs and Webshells v1.2,http://www.irongeek.com/downloads/grepforrfi.txt,BlackArch
grokevt,forensic ,,A collection of scripts built for reading Windows® NT/2K/XP/2K eventlog files.,http://code.google.com/p/grokevt/,BlackArch
grr,fuzzer ,,High-throughput fuzzer and emulator of DECREE binaries.,https://github.com/trailofbits/grr,BlackArch
grype,scanner ,,A vulnerability scanner for container images and filesystems.,https://github.com/anchore/grype,BlackArch
gsd,windows ,,Gives you the Discretionary Access Control List of any Windows NT service you specify as a command line option.,http://ntsecurity.nu/toolbox/gsd/,BlackArch
gsocket,networking ,,"Global Socket moving data from here to there securely, fast and trough NAT/Firewalls",https://www.gsocket.io/,BlackArch
gspoof,networking ,,A simple GTK/command line TCP/IP packet generator.,http://gspoof.sourceforge.net/,BlackArch
gtalk-decode,windows ,,Google Talk decoder tool that demonstrates recovering passwords from accounts.,http://packetstormsecurity.com/files/119154/Google-Talk-Decoder.html,BlackArch
gtfo,misc ,,Search gtfobins and lolbas files from your terminal.,https://github.com/mzfr/gtfo,BlackArch
gtfoblookup,misc ,,Offline command line lookup utility for GTFOBins and LOLBAS.,https://github.com/nccgroup/GTFOBLookup,BlackArch
gtp-scan,scanner ,,A small python script that scans for GTP (GPRS tunneling protocol) speaking hosts.,http://www.c0decafe.de/,BlackArch
guymager,forensic ,,A forensic imager for media acquisition.,http://guymager.sourceforge.net/,BlackArch
gwcheck,networking ,,A simple program that checks if a host in an ethernet network is a gateway to Internet.,http://packetstormsecurity.com/files/62047/gwcheck.c.html,BlackArch
gwtenum,recon ,,Enumeration of GWT-RCP method calls.,http://www.gdssecurity.com/l/t/d.php?k=GwtEnum,BlackArch
h2buster,scanner ,,"A threaded, recursive, web directory brute-force scanner over HTTP/2.",https://github.com/00xc/h2buster,BlackArch
h2csmuggler,webapp ,,HTTP Request Smuggling over HTTP/2 Cleartext (h2c).,https://github.com/BishopFox/h2csmuggler,BlackArch
h2spec,misc ,,A conformance testing tool for HTTP/2 implementation.,https://github.com/summerwind/h2spec,BlackArch
h2t,webapp ,,Scans a website and suggests security headers to apply.,https://github.com/gildasio/h2t,BlackArch
h8mail,recon ,,Email OSINT and password breach hunting.,https://github.com/khast3x/h8mail,BlackArch
habu,scanner ,,Python Network Hacking Toolkit.,https://github.com/portantier/habu,BlackArch
hackersh,automation ,,"A shell for with Pythonect-like syntax, including wrappers for commonly used security tools.",http://www.hackersh.org/,BlackArch
hackredis,exploitation ,,A simple tool to scan and exploit redis servers.,https://github.com/Ridter/hackredis,BlackArch
hackrf,radio ,,"Driver for HackRF, allowing general purpose software defined radio (SDR).",https://github.com/mossmann/hackrf,BlackArch
haiti,crypto ,,Hash type identifier (CLI & lib).,https://noraj.github.io/haiti/,BlackArch
haka,networking ,,A collection of tool that allows capturing TCP/IP packets and filtering them based on Lua policy files.,https://github.com/haka-security/haka,BlackArch
hakku,scanner ,,Simple framework that has been made for penetration testing tools.,https://github.com/4shadoww/hakkuframework,BlackArch
hakrawler,webapp ,,"Simple, fast web crawler designed for easy, quick discovery of endpoints and assets within a web application.",https://github.com/hakluke/hakrawler,BlackArch
hakrevdns,recon ,,"Small, fast tool for performing reverse DNS lookups en masse.",https://github.com/hakluke/hakrevdns,BlackArch
halberd,scanner ,,Halberd discovers HTTP load balancers. It is useful for web application security auditing and for load balancer configuration testing.,http://halberd.superadditive.com/,BlackArch
halcyon,recon ,,A repository crawler that runs checksums for static files found within a given git repository.,http://www.blackhatlibrary.net/Halcyon,BlackArch
halcyon-ide,misc ,,First IDE for Nmap Script (NSE) Development.,https://halcyon-ide.org/,BlackArch
hamster,exploitation ,,Tool for HTTP session sidejacking.,http://hamster.erratasec.com/,BlackArch
handle,windows ,,"An small application designed to analyze your system searching for global objects related to running process and display information for every found object, like tokens, semaphores, ports, files,..",http://www.tarasco.org/security/handle/index.html,BlackArch
harness,backdoor ,,Interactive remote PowerShell Payload.,https://github.com/Rich5/Harness,BlackArch
harpoon,automation ,,CLI tool for open source and threat intelligence.,https://github.com/Te-k/harpoon,BlackArch
hasere,recon ,,Discover the vhosts using google and bing.,https://github.com/galkan/hasere,BlackArch
hash-buster,crypto ,,A python script which scraps online hash crackers to find cleartext of a hash.,https://github.com/UltimateHackers/Hash-Buster/,BlackArch
hash-extender,crypto ,,A hash length extension attack tool.,https://github.com/iagox86/hash_extender,BlackArch
hash-identifier,crypto ,,Software to identify the different types of hashes used to encrypt data and especially passwords.,https://github.com/blackploit/hash-identifier,BlackArch
hashcat,cracker ,,Multithreaded advanced password recovery utility,https://hashcat.net/hashcat,BlackArch
hashcat-utils,misc ,,Set of small utilities that are useful in advanced password cracking,https://github.com/hashcat/hashcat-utils,BlackArch
hashcatch,wireless ,,Capture handshakes of nearby WiFi networks automatically.,https://github.com/staz0t/hashcatch/releases,BlackArch
hashcheck,crypto ,,Search for leaked passwords while maintaining a high level of privacy using the k-anonymity method.,https://github.com/Telefonica/HashCheck,BlackArch
hashdb,crypto ,,A block hash toolkit.,https://github.com/NPS-DEEP/hashdb/,BlackArch
hashdeep,crypto ,,Cross-platform tools to message digests for any number of files.,https://github.com/jessek/hashdeep,BlackArch
hasher,cracker ,,"A tool that allows you to quickly hash plaintext strings, or compare hashed values with a plaintext locally.",https://github.com/ChrisTruncer/Hasher,BlackArch
hashfind,crypto ,,A tool to search files for matching password hash types and other interesting data.,https://github.com/rurapenthe/hashfind,BlackArch
hashid,crypto ,,Software to identify the different types of hashes used to encrypt data.,https://github.com/psypanda/hashID,BlackArch
hashpump,crypto ,,A tool to exploit the hash length extension attack in various hashing algorithms.,https://github.com/bwall/HashPump,BlackArch
hashrat,crypto ,,"Hashing tool supporting MD5, SHA1, SHA256, SHA512, Whirlpool, JH and their HMAC.",https://github.com/ColumPaget/Hashrat,BlackArch
hashtag,cracker ,,A python script written to parse and identify password hashes.,https://github.com/SmeegeSec/HashTag,BlackArch
hatcloud,recon ,,Bypass CloudFlare with Ruby.,https://github.com/HatBashBR/HatCloud,BlackArch
hate-crack,automation ,,A tool for automating cracking methodologies through Hashcat.,https://github.com/trustedsec/hate_crack,BlackArch
haystack,binary ,,A Python framework for finding C structures from process memory - heap analysis - Memory structures forensics.,https://github.com/trolldbois/python-haystack,BlackArch
hbad,scanner ,,This tool allows you to test clients on the heartbleed bug.,http://www.curesec.com/,BlackArch
hcraft,exploitation ,,HTTP Vuln Request Crafter,http://sourceforge.net/projects/hcraft/,BlackArch
hcxdumptool,wireless ,,Small tool to capture packets from wlan devices,https://github.com/ZerBea/hcxdumptool,BlackArch
hcxkeys,crypto ,,Set of tools to generate plainmasterkeys (rainbowtables) and hashes for hashcat and John the Ripper,https://github.com/ZerBea/hcxkeys,BlackArch
hcxtools,wireless ,,Portable solution for capturing wlan traffic and conversion to hashcat and John the Ripper formats,https://github.com/ZerBea/hcxtools,BlackArch
hdcp-genkey,crypto ,,Generate HDCP source and sink keys from the leaked master key.,https://github.com/rjw57/hdcp-genkey,BlackArch
hdmi-sniff,hardware ,,HDMI DDC (I2C) inspection tool. It is designed to demonstrate just how easy it is to recover HDCP crypto keys from HDMI devices.,https://github.com/ApertureLabsLtd/hdmi-sniff,BlackArch
heaptrace,debugger ,,Helps visualize heap operations for pwn and debugging.,https://github.com/Arinerron/heaptrace,BlackArch
heartbleed-honeypot,honeypot ,,"Script that listens on TCP port 443 and responds with completely bogus SSL heartbeat responses, unless it detects the start of a byte pattern similar to that used in Jared Stafford's",http://packetstormsecurity.com/files/126068/hb_honeypot.pl.txt,BlackArch
heartleech,exploitation ,,"Scans for systems vulnerable to the heartbleed bug, and then download them.",https://github.com/robertdavidgraham/heartleech,BlackArch
hekatomb,windows ,,Extract and decrypt all credentials from all domain computers using DPAPI.,https://github.com/ProcessusT/HEKATOMB,BlackArch
hellraiser,scanner ,,Vulnerability Scanner.,https://github.com/m0nad/HellRaiser,BlackArch
hemingway,social ,,A simple and easy to use spear phishing helper.,https://github.com/ytisf/hemingway,BlackArch
hercules-payload,binary ,,A special payload generator that can bypass all antivirus software.,https://github.com/EgeBalci/HERCULES,BlackArch
hetty,webapp ,,HTTP toolkit for security research. Aims to become an open source alternative to commercial software like Burp Suite Pro.,https://github.com/dstotijn/hetty,BlackArch
hex2bin,binary ,,Converts Motorola and Intel hex files to binary.,http://hex2bin.sourceforge.net/,BlackArch
hexinject,sniffer ,,A very versatile packet injector and sniffer that provides a command-line framework for raw network access.,http://hexinject.sourceforge.net,BlackArch
hexorbase,fuzzer ,,"A database application designed for administering and auditing multiple database servers simultaneously from a centralized location. It is capable of performing SQL queries and bruteforce attacks against common database servers (MySQL, SQLite, Microsoft SQL Server, Oracle, PostgreSQL).",https://code.google.com/p/hexorbase/,BlackArch
hexyl,misc ,,Colored command-line hex viewer,https://github.com/sharkdp/hexyl,BlackArch
hharp,networking ,,"This tool can perform man-in-the-middle and switch flooding attacks. It has 4 major functions, 3 of which attempt to man-in-the-middle one or more computers on a network with a passive method or flood type method.",http://packetstormsecurity.com/files/81368/Hackers-Hideaway-ARP-Attack-Tool.html,BlackArch
hidattack,bluetooth ,,HID Attack (attacking HID host implementations),http://mulliner.org/bluetooth/hidattack.php,BlackArch
hiddeneye,social ,,Modern phishing tool with advanced functionality.,https://github.com/DarkSecDevelopers/HiddenEye,BlackArch
hiddeneye-legacy,social ,,Modern Phishing Tool With Advanced Functionality.,https://github.com/DarkSecDevelopers/HiddenEye-Legacy,BlackArch
hikpwn,scanner ,,A simple scanner for Hikvision devices with basic vulnerability scanning capabilities written in Python 3.8.,https://github.com/4n4nk3/HikPwn,BlackArch
hlextend,crypto ,,Pure Python hash length extension module.,https://github.com/stephenbradshaw/hlextend,BlackArch
hodor,fuzzer ,,A general-use fuzzer that can be configured to use known-good input and delimiters in order to fuzz specific locations.,https://github.com/nccgroup/hodor,BlackArch
holehe,social ,,A tool for Efficiently finding registered accounts from emails.,https://github.com/megadose/holehe,BlackArch
hollows-hunter,windows ,,"Scans all running processes. Recognizes and dumps a variety of potentially malicious implants (replaced/injected PEs, shellcodes, hooks, in-memory patches).",https://github.com/hasherezade/hollows_hunter,BlackArch
homepwn,scanner ,,Swiss Army Knife for Pentesting of IoT Devices.,https://github.com/ElevenPaths/HomePWN,BlackArch
honeycreds,defensive ,,Network credential injection to detect responder and other network poisoners.,https://github.com/Ben0xA/HoneyCreds,BlackArch
honeyd,honeypot ,,A small daemon that creates virtual hosts on a network.,https://github.com/DataSoft/Honeyd/,BlackArch
honeypy,honeypot ,,A low interaction Honeypot.,https://github.com/foospidy/HoneyPy,BlackArch
honggfuzz,fuzzer ,,"A general-purpose fuzzer with simple, command-line interface.",https://code.google.com/p/honggfuzz/,BlackArch
honssh,honeypot ,,A high-interaction Honey Pot solution designed to log all SSH communications between a client and server.,https://code.google.com/p/honssh/,BlackArch
hookanalyser,windows ,,A hook tool which can be potentially helpful in reversing applications and analyzing malware. It can hook to an API in a process and search for a pattern in memory or dump the buffer.,http://hookanalyser.blogspot.de/,BlackArch
hookshot,webapp ,,Integrated web scraper and email account data breach comparison tool.,https://github.com/andrew-vii/hookshot/,BlackArch
hoover,wireless ,,Wireless Probe Requests Sniffer.,https://github.com/xme/hoover/,BlackArch
hoper,recon ,,Trace URL's jumps across the rel links to obtain the last URL.,https://github.com/gabamnml/hoper,BlackArch
hopper,reversing ,,"Reverse engineering tool that lets you disassemble, decompile and debug your applications.",https://www.hopperapp.com/download.html?,BlackArch
hoppy,scanner ,,A python script which tests http methods for configuration issues leaking information or just to see if they are enabled.,https://labs.portcullis.co.uk/downloads/,BlackArch
horusec,code-audit ,,Static code analysis to identify security flaws for many languages.,https://github.com/ZupIT/horusec,BlackArch
host-extract,scanner ,,Ruby script tries to extract all IP/Host patterns in page response of a given URL and JavaScript/CSS files of that URL.,https://code.google.com/p/host-extract/,BlackArch
hostapd-wpe,wireless ,,Modified hostapd to facilitate AP impersonation attacks.,https://w1.fi/hostapd/,BlackArch
hostbox-ssh,cracker ,,A ssh password/account scanner.,http://stridsmanit.wordpress.com/2012/12/02/brute-forcing-passwords-with-hostbox-ssh-1-1/,BlackArch
hosthunter,recon ,,A recon tool for discovering hostnames using OSINT techniques.,https://github.com/SpiderLabs/HostHunter,BlackArch
hotpatch,backdoor ,,Hot patches executables on Linux using .so file injection.,http://www.selectiveintellect.com/hotpatch.html,BlackArch
hotspotter,wireless ,,"Hotspotter passively monitors the network for probe request frames to identify the preferred networks of Windows XP clients, and will compare it to a supplied list of common hotspot network names.",http://www.remote-exploit.org/?page_id=418,BlackArch
howmanypeoplearearound,recon ,,Count the number of people around you by monitoring wifi signals.,https://github.com/schollz/howmanypeoplearearound,BlackArch
hpfeeds,honeypot ,,Honeynet Project generic authenticated datafeed protocol.,https://github.com/rep/hpfeeds,BlackArch
hping,networking ,,A command-line oriented TCP/IP packet assembler/analyzer.,http://www.hping.org,BlackArch
hqlmap,exploitation ,,A tool to exploit HQL Injections.,https://github.com/PaulSec/HQLmap,BlackArch
hsecscan,scanner ,,A security scanner for HTTP response headers.,https://github.com/riramar/hsecscan,BlackArch
htcap,webapp ,,A web application analysis tool for detecting communications between javascript and the server.,https://github.com/segment-srl/htcap,BlackArch
htexploit,exploitation ,,A Python script that exploits a weakness in the way that .htaccess files can be configured to protect a web directory with an authentication process,http://www.mkit.com.ar/labs/htexploit/,BlackArch
htpwdscan,cracker ,,A python HTTP weak pass scanner.,https://github.com/lijiejie/htpwdScan,BlackArch
htrosbif,fingerprint ,,Active HTTP server fingerprinting and recon tool.,https://github.com/lkarsten/htrosbif,BlackArch
htshells,exploitation ,,Self contained web shells and other attacks via .htaccess files.,https://github.com/wireghoul/htshells,BlackArch
http-enum,scanner ,,A tool to enumerate the enabled HTTP methods supported on a webserver.,https://www.thexero.co.uk/tools/http-enum/,BlackArch
http-fuzz,fuzzer ,,A simple http fuzzer.,none,BlackArch
http-put,misc ,,Simple http put perl script.,,BlackArch
http-traceroute,networking ,,This is a python script that uses the Max-Forwards header in HTTP and SIP to perform a traceroute-like scanning functionality.,http://packetstormsecurity.com/files/107167/Traceroute-Like-HTTP-Scanner.html,BlackArch
http2smugl,webapp ,,Http2Smugl - Tool to detect and exploit HTTP request smuggling in cases it can be achieved via HTTP/2 -> HTTP/1.1 conversion.,https://github.com/neex/http2smugl,BlackArch
httpbog,windows ,,"A slow HTTP denial-of-service tool that works similarly to other attacks, but rather than leveraging request headers or POST data Bog consumes sockets by slowly reading responses.",http://sourceforge.net/projects/httpbog/,BlackArch
httpforge,webapp ,,"A set of shell tools that let you manipulate, send, receive, and analyze HTTP messages. These tools can be used to test, discover, and assert the security of Web servers, apps, and sites. An accompanying Python library is available for extensions.",http://packetstormsecurity.com/files/98109/HTTPForge.02.01.html,BlackArch
httpgrep,webapp ,,A python tool which scans for HTTP servers and finds given strings in HTTP body and HTTP response headers.,https://nullsecurity.net/tools/scanner.html,BlackArch
httping,networking ,,A ping-like tool for HTTP requests,https://www.vanheusden.com/httping/,BlackArch
httppwnly,webapp ,,"""Repeater"" style XSS post-exploitation tool for mass browser control.",https://github.com/Danladi/HttpPwnly,BlackArch
httprecon,windows ,,"Tool for web server fingerprinting, also known as http fingerprinting.",http://www.computec.ch/projekte/httprecon/?s=download,BlackArch
httprint,fingerprint ,,A web server fingerprinting tool.,http://www.net-square.com/httprint.html,BlackArch
httprint-win32,windows ,,A web server fingerprinting tool (Windows binaries).,http://net-square.com/httprint,BlackArch
httprobe,scanner ,,Take a list of domains and probe for working HTTP and HTTPS servers,https://github.com/tomnomnom/httprobe,BlackArch
httpry,sniffer ,,A specialized packet sniffer designed for displaying and logging HTTP traffic.,http://dumpsterventures.com/jason/httpry/,BlackArch
httpscreenshot,misc ,,A tool for grabbing screenshots and HTML of large numbers of websites.,https://github.com/breenmachine/httpscreenshot,BlackArch
httpsniff,sniffer ,,Tool to sniff HTTP responses from TCP/IP based networks and save contained files locally for later review.,http://www.sump.org/projects/httpsniff/,BlackArch
httpsscanner,scanner ,,A tool to test the strength of a SSL web server.,https://code.google.com/p/libre-tools/,BlackArch
httptunnel,tunnel ,,Creates a bidirectional virtual data connection tunnelled in HTTP requests,https://github.com/larsbrinkhoff/httptunnel,BlackArch
httpx,webapp ,,A fast and multi-purpose HTTP toolkit allow to run multiple probers using retryablehttp library.,https://github.com/projectdiscovery/httpx,BlackArch
httrack,misc ,,An easy-to-use offline browser utility,https://www.httrack.com/,BlackArch
hubbit-sniffer,sniffer ,,Simple application that listens for WIFI-frames and records the mac-address of the sender and posts them to a REST-api.,https://github.com/cthit/hubbIT-sniffer,BlackArch
hulk,dos ,,A webserver DoS tool (Http Unbearable Load King) ported to Go with some additional features.,https://github.com/grafov/hulk,BlackArch
hungry-interceptor,sniffer ,,"Intercepts data, does something with it, stores it.",https://github.com/nbuechler/hungry-interceptor,BlackArch
hurl-encoder,misc ,,Hexadecimal & URL (en/de)coder.,https://github.com/fnord0/hURL,BlackArch
hwk,dos ,,Collection of packet crafting and wireless network flooding tools,http://www.nullsecurity.net/,BlackArch
hxd,misc ,,Freeware Hex Editor and Disk Editor.,https://mh-nexus.de/en/hxd/,BlackArch
hyde,networking ,,Just another tool in C to do DDoS (with spoofing).,https://github.com/CoolerVoid/Hyde,BlackArch
hydra,cracker ,,Very fast network logon cracker which support many different services,https://github.com/vanhauser-thc/thc-hydra,BlackArch
hyenae,networking ,,Flexible platform independent packet generator.,http://sourceforge.net/projects/hyenae/,BlackArch
hyperfox,networking ,,A security tool for proxying and recording HTTP and HTTPs traffic.,https://github.com/xiam/hyperfox,BlackArch
hyperion-crypter,windows ,,A runtime encrypter for 32-bit and 64-bit portable executables.,http://nullsecurity.net/tools/binary.html,BlackArch
i2pd,networking ,,A full-featured C++ implementation of the I2P router,https://i2pd.website/,BlackArch
iaito,reversing ,,Qt and C++ GUI for radare2 reverse engineering framework,https://github.com/radareorg/iaito,BlackArch
iaxflood,dos ,,IAX flooder.,http://www.hackingexposedvoip.com/,BlackArch
iaxscan,scanner ,,A Python based scanner for detecting live IAX/2 hosts and then enumerating (by bruteforce) users on those hosts.,http://code.google.com/p/iaxscan/,BlackArch
ibrute,cracker ,,"An AppleID password bruteforce tool. It uses Find My Iphone service API, where bruteforce protection was not implemented.",https://github.com/hackappcom/ibrute/,BlackArch
icloudbrutter,cracker ,,Tool for AppleID Bruteforce.,https://github.com/m4ll0k/iCloudBrutter,BlackArch
icmpquery,scanner ,,Send and receive ICMP queries for address mask and current time.,http://www.angio.net/security/,BlackArch
icmpsh,backdoor ,,Simple reverse ICMP shell.,https://github.com/inquisb/icmpsh,BlackArch
icmptx,tunnel ,,IP over ICMP tunnel.,http://thomer.com/icmptx/,BlackArch
id-entify,recon ,,Search for information related to a domain: Emails - IP addresses - Domains - Information on WEB technology - Type of Firewall - NS and MX records.,https://github.com/BillyV4/ID-entify,BlackArch
ida-free,reversing ,,Freeware version of the world's smartest and most feature-full disassembler.,https://hex-rays.com/ida-free/,BlackArch
idb,mobile ,,A tool to simplify some common tasks for iOS pentesting and research.,https://rubygems.org/gems/idb,BlackArch
identywaf,webapp ,,Blind WAF identification tool.,https://github.com/stamparm/identYwaf,BlackArch
idswakeup,recon ,,A collection of tools that allows to test network intrusion detection systems.,http://www.hsc.fr/ressources/outils/idswakeup/index.html.en,BlackArch
ifchk,defensive ,,A network interface promiscuous mode detection tool.,http://www.noorg.org/ifchk/,BlackArch
ifuzz,fuzzer ,,A binary file fuzzer with several options.,http://www.fuzzing.org/,BlackArch
iheartxor,cracker ,,A tool for bruteforcing encoded strings within a boundary defined by a regular expression. It will bruteforce the key value range of 0x1 through 0x255.,http://hooked-on-mnemonics.blogspot.com.es/p/iheartxor.html,BlackArch
iis-shortname-scanner,scanner ,,An IIS shortname Scanner.,https://github.com/lijiejie/IIS_shortname_Scanner,BlackArch
iisbruteforcer,cracker ,,HTTP authentication cracker. It's a tool that launchs an online dictionary attack to test for weak or simple passwords against protected areas on an IIS Web server.,http://www.open-labs.org/,BlackArch
ike-scan,scanner ,,"A tool that uses IKE protocol to discover, fingerprint and test IPSec VPN servers.",http://www.nta-monitor.com/tools/ike-scan/,BlackArch
ikecrack,cracker ,,An IKE/IPSec crack tool designed to perform Pre-Shared-Key analysis of RFC compliant aggressive mode authentication,http://sourceforge.net/projects/ikecrack/,BlackArch
ikeforce,cracker ,,A command line IPSEC VPN brute forcing tool for Linux that allows group name/ID enumeration and XAUTH brute forcing capabilities.,https://github.com/SpiderLabs/ikeforce,BlackArch
ikeprobe,windows ,,Determine vulnerabilities in the PSK implementation of the VPN server.,http://www.ernw.de/download/ikeprobe.zip,BlackArch
ikeprober,fuzzer ,,"Tool crafting IKE initiator packets and allowing many options to be manually set. Useful to find overflows, error conditions and identifiyng vendors",http://ikecrack.sourceforge.net/,BlackArch
ilo4-toolbox,scanner ,,Toolbox for HPE iLO4 analysis.,https://github.com/airbus-seclab/ilo4_toolbox,BlackArch
ilty,voip ,,An interception phone system for VoIP network.,http://chdir.org/~nico/ilty/,BlackArch
imagegrep,misc ,,Grep word in pdf or image based on OCR.,https://github.com/coderofsalvation/imagegrep-bash,BlackArch
imagejs,binary ,,Small tool to package javascript into a valid image file.,https://github.com/jklmnn/imagejs,BlackArch
